id|name|has_tono_records|video_id|type_id|version|creation_began|creation_finished|offset|duration|location
623680|b'God S\xc3\xb8ndag fra P7 - Templet i profetisk lys'|f|623680|2|1|2010-01-19 07:40:24.487000+00:00||0|3593.52|http://frontend.frikanalen.tv/media/b'623680/broadcast/3892_a9cab201bc8a46adaa6340447de84b7c.avi'
623674|b'God S\xc3\xb8ndag fra P7 - Menigheten i profetisk lys'|f|623674|2|1|2010-01-19 07:39:41+00:00||0|3599.32|http://frontend.frikanalen.tv/media/b'623674/broadcast/3891_68eadc5971a141c5b929eef13fca1f74.avi'
623663|b'God S\xc3\xb8ndag fra P7 - Gode nyheter fra en tom grav 2. Bibeltime'|f|623663|2|1|2010-01-19 07:38:49.563000+00:00||0|3553.6|http://frontend.frikanalen.tv/media/b'623663/broadcast/3890_f88a31e9145244a994d6b94599ed6a98.avi'
623652|b'God S\xc3\xb8ndag fra P7 - Ut av b\xc3\xa5ten'|f|623652|2|1|2009-12-18 10:21:19.273000+00:00||0|3480.64|http://frontend.frikanalen.tv/media/b'623652/broadcast/3732_8127c98a539444ad8cdc875e7ea4d4d9.avi'
623649|b'Empo TV - del 19'|f|623649|2|1|2010-01-22 13:50:17.693000+00:00||0|1491.48|http://frontend.frikanalen.tv/media/b'623649/broadcast/3909_c60e7dc396204d229b4948fa071a8b44.avi'
623639|b'God S\xc3\xb8ndag fra P7 - Gode nyheter fra en tom grav 1. Bibeltime'|f|623639|2|1|2009-12-18 10:20:39.147000+00:00||0|3423.44|http://frontend.frikanalen.tv/media/b'623639/broadcast/3731_6fff23f901534cc4bb8b95771f7e91ac.avi'
623634|b'God S\xc3\xb8ndag fra P7 - Samfunn med Faderen'|f|623634|2|1|2009-12-18 10:19:36.817000+00:00||0|3578.08|http://frontend.frikanalen.tv/media/b'623634/broadcast/3730_6b0cd3209da144af90ffa017e788cdfd.avi'
623604|b'God S\xc3\xb8ndag fra P7 - N\xc3\xa5de over n\xc3\xa5de'|f|623604|2|1|2009-12-18 10:18:37.057000+00:00||0|3600.0|http://frontend.frikanalen.tv/media/b'623604/broadcast/3729_13bb6d9f4da948c3aa85f55112311307.avi'
623586|b'Empo tv - del 17'|f|623586|2|1|2009-12-16 09:56:17.470000+00:00||0|1729.88|http://frontend.frikanalen.tv/media/b'623586/broadcast/3701_85b411d29bee46b5a165d7fe7a867336.avi'
623566|b'Warriors of the net'|f|623566|2|1|2010-04-20 20:42:42.897000+00:00||0|779.72|http://frontend.frikanalen.tv/media/b'623566/broadcast/4250_dc0d809d0b1842889ca8a298c01535eb.avi'
623550|b'God S\xc3\xb8ndag fra P7 - Bli fylt av \xc3\x85nden'|f|623550|2|1|2009-12-18 10:16:33.067000+00:00||0|3501.8|http://frontend.frikanalen.tv/media/b'623550/broadcast/3726_b83f6f2997524677a3ba58841fa8e379.avi'
623548|b'Empo tv - del 16'|f|623548|2|1|2009-12-16 09:54:54.500000+00:00||0|1274.72|http://frontend.frikanalen.tv/media/b'623548/broadcast/3699_29fa46b689294c1cbc8c0c7a08d3cde9.avi'
623511|b'Rettferd for taperne; Om fattigdom i innlandet'|f|623511|2|1|2010-04-09 07:54:50.697000+00:00||0|1693.32|http://frontend.frikanalen.tv/media/b'623511/broadcast/4213_e11f95c2cfe84fa99686c10fbdec3a91.avi'
623495|b'Empo tv - del 15'|f|623495|2|1|2009-12-16 09:49:33.497000+00:00||0|1493.96|http://frontend.frikanalen.tv/media/b'623495/broadcast/3698_fe045c068d6c4c4e9e9636537bde2d61.avi'
623489|b'God S\xc3\xb8ndag fra P7 - Ved Jesu kors'|f|623489|2|1|2009-12-18 10:15:23.237000+00:00||0|3509.84|http://frontend.frikanalen.tv/media/b'623489/broadcast/3724_d0424d7c1c074efc97a983f11e90670f.avi'
623475|b'Empo tv - del 14'|f|623475|2|1|2009-12-16 09:48:19.183000+00:00||0|1470.88|http://frontend.frikanalen.tv/media/b'623475/broadcast/3697_5894b32c2c6c47cb81cf271096c243c3.avi'
623459|b'timetravelling'|f|623459|2|1|2010-03-10 15:23:21.913000+00:00||0|210.85|http://frontend.frikanalen.tv/media/b'623459/broadcast/4055_dc6626cecb804a58814105fbbb3178d1.avi'
623438|b'God S\xc3\xb8ndag fra P7 - Livsreisen (6) - Mot m\xc3\xa5let'|f|623438|2|1|2009-12-18 10:10:00.843000+00:00||0|3598.92|http://frontend.frikanalen.tv/media/b'623438/broadcast/3723_1d75abd22ba14c2db6e04437421ea2df.avi'
623437|b'God S\xc3\xb8ndag fra P7 - Livsreisen (5) - N\xc3\xa5r livet snur'|f|623437|2|1|2009-12-18 10:09:11.373000+00:00||0|3325.84|http://frontend.frikanalen.tv/media/b'623437/broadcast/3722_c85783fbd56c4146a78bcf47a7921563.avi'
623432|b'Empo tv - del 13'|f|623432|2|1|2009-12-16 09:46:12.823000+00:00||0|1288.72|http://frontend.frikanalen.tv/media/b'623432/broadcast/3696_2f7b314bb1e14910ae6ca1015c473bdc.avi'
623395|b'Empo tv - del 12'|f|623395|2|1|2009-12-16 09:45:29.637000+00:00||0|1665.76|http://frontend.frikanalen.tv/media/b'623395/broadcast/3695_406a3dc7316146488c8167024a414378.avi'
623386|b'God S\xc3\xb8ndag fra P7 - Sang og musikkm\xc3\xb8te, Flekkefjord'|f|623386|2|1|2009-12-18 10:03:41.680000+00:00||0|3573.4|http://frontend.frikanalen.tv/media/b'623386/broadcast/3718_f9bcd1d547c546f1beed8c1a14a5f204.avi'
623376|b'God S\xc3\xb8ndag fra P7 - Jeg l\xc3\xb8fter mine \xc3\xb8yne opp til fjellene'|f|623376|2|1|2009-12-18 10:02:20.103000+00:00||0|3595.92|http://frontend.frikanalen.tv/media/b'623376/broadcast/3716_2f5b5b62e57a42adaca849ad7ed564fa.avi'
623375|b'Empo tv - del 11'|f|623375|2|1|2009-12-16 09:44:20.637000+00:00||0|1367.0|http://frontend.frikanalen.tv/media/b'623375/broadcast/3694_768c1d43bbbf47a7a5839f45843963c2.avi'
623362|b'God S\xc3\xb8ndag fra P7 - Sammen p\xc3\xa5 vegen'|f|623362|2|1|2009-12-18 10:06:47.637000+00:00||0|3614.4|http://frontend.frikanalen.tv/media/b'623362/broadcast/3719_4681fe827b0b4b79b920773f08231d27.avi'
